kappa_0.16,,kappa_0.23_main,,kappa_0.30_main,,kappa_0.37_main,,kappa_0.23_bullet,,kappa_0.30_bullet,,kappa_0.16_nw,,kappa_0.16_uc,,kappa_0.16_ur,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-0.3852398517738783,-0.0388396007803532,-2.5560647626812054,-0.03319089156533191,-2.165898205963394,-0.03647772413663796,-1.7779103294103347,-0.042994803934569836,-4.304197072732965,-0.04127808885781242,-4.777797393706162,-0.049596239689060684,,,,,-3.9205133514208503,-0.06553945538541452
-0.3508366229731924,-0.03804875805386691,-2.587349354752635,-0.035073058494196875,-2.204130836907134,-0.037325077091191296,-1.729698333779585,-0.04387216597607359,-4.407401302202862,-0.0414678709809168,-4.770348681308203,-0.05072512970967191,,,,,-3.96635158156214,-0.06674444604680035
-0.3481681831471103,-0.037070243981105554,-2.584124307846266,-0.036653617197972305,-2.2255561167990674,-0.03817216713759864,-1.674276366532862,-0.044780776528644595,-4.5298821445268205,-0.041344341710604054,-4.714892608235481,-0.05179054619217777,,,,,,
-0.36569312077791405,-0.035979145128566294,-2.618486609655754,-0.03763262704038041,-2.225249164365085,-0.03958342050701231,-1.621323661088393,-0.04537581277965247,-4.611456459148797,-0.04162786936691021,-4.630739893168058,-0.05232237181322627,,,,,,
-0.3918700243478863,-0.034850548062746324,-2.675997217686594,-0.03816039636431921,-2.222554804111245,-0.04093191394614547,-1.5468092524479986,-0.0457509827039924,-4.707334757194328,-0.04238204016286035,-4.551409741896748,-0.052760188992927004,,,,,,
-0.44099878458146147,-0.03417391263488182,-2.7219582288014763,-0.03880088567793959,-2.2223501691552565,-0.04187274952575458,-1.484450160193286,-0.045436394328151844,-4.779004739946491,-0.04404530976936692,-4.4648627978442645,-0.05326061586968197,,,,,,
-0.4728727253261369,-0.03334647309447254,-2.7247658203976304,-0.039139631556566745,-2.2461901415278467,-0.04265715475849455,-1.4389802729727745,-0.04474573462861364,-4.848314599539592,-0.0455203747016451,-4.385600858224952,-0.053384821189513,,,,,,
-0.4903076235763061,-0.032669341896961294,-2.6437467486229007,-0.04071897337120926,-2.2724038793898966,-0.04356704229348898,-1.3598547566574528,-0.044242716228705264,-4.915230230147637,-0.04696404088962973,-4.306420772588033,-0.053132692277500386,,,,,,
-0.5134968567888549,-0.032029934262570184,-2.5974746923749166,-0.04150855413859475,-2.2697845519532516,-0.044570562686765465,-1.2902515869607682,-0.044116182293866824,-4.967794129175728,-0.04815659223987917,,,,,,,,
-0.5252019762713629,-0.031202179232385704,-2.585720460502971,-0.04256210970788542,-2.2311699357583343,-0.04547943614748247,-1.249563336545174,-0.04351968126890267,-4.977091377342779,-0.04956799584251913,,,,,,,,
-0.5253902404308718,-0.030336610499145315,-2.643108287560219,-0.0436543803795897,-2.1685175334000393,-0.04651337876908164,,,-4.95999071618739,-0.05091626393181285,,,,,,,,
-0.5485958444398995,-0.029621936018385475,-2.6832249243320865,-0.04467111378511794,-2.1227065879195486,-0.04739077836889195,,,-4.938115239392283,-0.05213901216054556,,,,,,,,
-0.6611532556314845,-0.028758125013892626,-2.720460300923645,-0.04568780212067829,-2.0265622644312327,-0.047859693826433666,,,-4.901772071208832,-0.05364378571332158,,,,,,,,
-0.695851158768793,-0.028194164505741783,-2.8067916961558206,-0.046178388721111595,-1.9400153203787498,-0.048360120703188625,,,-4.841513897835594,-0.05470912707921429,,,,,,,,
-0.7220526185334839,-0.026952667170368726,-2.8700566391490403,-0.04674388160817054,-1.8679224253842122,-0.048641244627874225,,,-4.764605260210142,-0.055052898259260685,,,,,,,,
-0.8085722779251683,-0.026577685037561638,-2.9246614308048517,-0.047384506131694565,-1.7502232198651717,-0.04885893257276103,,,-4.716495582057387,-0.05545984251095988,,,,,,,,
-0.8951737912992477,-0.025826368672910917,-2.924432239654145,-0.04843824198085677,-1.658894639007772,-0.04926520077494194,,,-4.632424720972358,-0.05561533390016474,,,,,,,,
-0.9443107369310624,-0.025112099821862036,-2.8954804860809764,-0.04907755947531211,-1.5892982904762867,-0.049107305654116515,,,-4.5074541533505466,-0.056146521030001534,,,,,,,,
-0.9906973887543997,-0.02379565112989545,-2.8061450496948988,-0.04915142915267639,-1.524579075062513,-0.048604512604047564,,,-4.408901958546773,-0.05664676011522364,,,,,,,,
-1.0167842529437372,-0.0230810217191035,-2.728252800047664,-0.049601813341755854,-1.4190624705899522,-0.048006997504806,,,-4.281741796895892,-0.05620571292115778,,,,,,,,
-1.1695401548895854,-0.022857609888295237,-2.644655327827487,-0.049788673428609,-1.3086346271736813,-0.047911186264742806,,,-4.161791606860984,-0.055733417216024664,,,,,,,,
-1.195659760671881,-0.021992446784765828,-2.575251336154631,-0.050954227868095045,-1.241405222966456,-0.04791013463215882,,,-4.123470300769649,-0.05529375967930193,,,,,,,,
-1.2074221779420657,-0.020901257792290788,-2.554828767547038,-0.05212054849703515,-1.1862492811625174,-0.047595658931237975,,,-4.114063913959407,-0.05438413505245351,,,,,,,,
-1.2650801231412165,-0.020751625498911047,-2.4222335014651177,-0.05238190924080297,-1.1143814846195668,-0.04684186371835355,,,-4.06140451861852,-0.05363064030602165,,,,,,,,
-1.33148825905841,-0.020112893914038213,-2.3358120668523075,-0.05230529029539768,-1.0496759115361924,-0.04627634829631065,,,-3.9846459466274586,-0.05328446539435469,,,,,,,,
-1.4323241799710078,-0.020152104786098572,-2.2205616596399222,-0.05230348749668226,-1.0137488344299168,-0.045868089503881465,,,-3.886387061927268,-0.05243617348213707,,,,,,,,
