MatchRA,MatchDec,MatchID,NumImages,NumFilters,NumVisits,A_F606W,A_F775W,A_F814W,A_F850LP,W3_F110W,W3_F160W,CI
104.61735166357734,-55.93233464185642,9803626,7,6,5,25.06694984436035,25.22100067138672,24.222400665283203,25.21339988708496,24.64900016784668,24.51370048522949,1.886336002798436
104.63968661158307,-55.94725336125974,9813470,4,2,2,,,,,23.040849685668945,22.68964958190918,3.4050706273584224
104.6518013805016,-55.93816978129492,9819277,2,2,1,,,,,24.326400756835938,24.17650032043457,3.801755086064084
104.57783174686058,-55.94680310073832,33050612,2,2,1,25.79520034790039,,25.02720069885254,,,,1.726713003935637
104.64041927269204,-55.946761067872366,33134101,2,2,1,,,,,25.09320068359375,24.77720069885254,3.3691618297654173
104.64473854015188,-55.93827542860641,33186044,2,2,1,,,,,23.796899795532227,23.35890007019043,3.7323254925101543
104.695990389965,-55.93635372955039,33217977,2,2,2,,24.726299285888672,,25.15169906616211,,,1.8575830173370635
104.665341129326,-55.95125659545719,33225161,7,3,4,,26.47960090637207,,,25.80660057067871,25.59239959716797,1.9318050777781284
104.59842397897546,-55.92501192008479,33307990,1,1,1,,,,,27.411399841308597,,2.772857248783111
104.64062050806736,-55.93809471805964,33321318,2,2,1,,,,,22.874399185180664,22.45499992370605,3.836222120058308
104.59223878095868,-55.9405174989576,33359488,2,2,1,25.240800857543945,,24.85149955749512,,,,1.5633333060476513
104.59975964669236,-55.92673566112348,33365767,4,4,2,23.725500106811523,,22.92770004272461,,22.451499938964844,22.16679954528809,1.875944560478858
104.6712156930717,-55.95428565386372,33396095,1,1,1,,,,,27.012399673461918,,2.4389286126409258
104.63412732105492,-55.94420156320766,33438622,6,5,4,26.40399932861328,25.869600296020508,25.81599998474121,,23.91340065002441,23.725099563598636,2.049509353323613
104.62699484566464,-55.92887267133041,54699132,2,2,1,,,,,26.23600006103516,26.065000534057617,2.375525048673788
104.57984714116424,-55.95557588650182,54702610,2,2,1,25.50489997863769,,24.98760032653809,,,,1.6822685246114375
104.6285523507664,-55.95949434032748,54713513,2,2,1,,,,,22.94849967956543,22.74970054626465,3.074301769738512
104.6102625262146,-55.95333263250881,54796335,3,2,2,,,,,26.12169933319092,25.502700805664062,1.904927158639544
104.55256373032218,-55.95305597925727,54880423,2,2,1,25.61989974975586,,24.59440040588379,,,,1.685277786519792
104.62773709721218,-55.93796703982553,54927215,3,2,2,,,,,21.886199951171875,21.4264497756958,3.655570275239599
104.66480661834152,-55.93380500648322,54961051,2,2,1,,,,,24.519800186157227,23.44820022583008,1.846656505105846
104.6775844295672,-55.937025442531045,54970870,1,1,1,,,,,,,1.5404301304971018
104.6294275093524,-55.929239856673455,54990777,2,2,1,,,,,25.17930030822754,25.08970069885254,2.35016792694897
104.5708836226746,-55.923003949820966,55006999,2,2,1,24.385099411010746,,24.16659927368164,,,,1.96300932654628
104.6601386861882,-55.94350964879217,55015784,4,2,2,,,,,25.084750175476078,25.06944942474365,2.318520115605041
104.691180711603,-55.96330886236694,55028522,1,1,1,,,,,25.11210060119629,,2.7212500572204585
104.61423377915116,-55.9373318749593,55056438,1,1,1,,,,,26.593000411987305,,3.095714322158268
104.58626851589202,-55.92394369332453,55064271,3,3,2,24.149799346923828,,24.01140022277832,,,,1.8785802670467044
104.63431532930548,-55.95633742389379,77383652,10,6,9,24.246000289916992,23.682300567626957,,23.77779960632324,23.40410041809082,23.32010078430176,2.271721739641744
104.61008112455536,-55.93029508511781,77418829,1,1,1,,24.467300415039062,,,,,2.0708333562921597
104.65557248367216,-55.92612662307528,77439698,2,2,1,,,,,21.66530036926269,21.422199249267575,2.748948620008761
104.53334080088231,-55.9503169150747,77439984,2,2,1,25.639799118041992,,25.37420082092285,,,,1.6790277428097196
104.6103287332412,-55.94457030068071,77518488,7,5,4,26.19569969177246,25.730499267578125,25.72480010986328,,25.129350662231445,24.95345020294189,1.998338529983234
104.60883929731958,-55.93460374212043,77616686,2,2,1,,,,,23.344600677490234,23.252199172973636,3.3287420042796425
104.59967691644852,-55.96483614641643,77633653,1,1,1,26.88920021057129,,,,,,1.4213888733475295
104.61655299048604,-55.93848794066838,77639409,4,2,2,,,,,24.00074958801269,23.317749977111816,3.3644942824901545
104.57971412279502,-55.93255548743729,77680859,2,2,1,25.47879981994629,,24.95389938354492,,,,1.8308333224720423
104.60064275378711,-55.94222597234315,77715537,6,5,3,25.84494972229004,,25.722900390625,,24.957799911499023,24.62220001220703,1.800771317314049
104.63144259117053,-55.95792444162283,77715639,5,3,3,,25.6294002532959,,,24.89799976348877,24.843350410461422,2.2369441695050645
104.6455766514606,-55.93163525194332,77742021,5,4,3,26.28660011291504,,25.53820037841797,,24.323400497436523,24.26679992675781,2.2616933403557367
104.65221276911048,-55.948933985736254,77787889,1,1,1,,,,,26.891300201416016,,2.933749982288905
104.68902945575796,-55.9584780487096,100506034,1,1,1,,,,,,25.635799407958984,2.434179142339905
104.56404909926252,-55.91700799810525,100508988,2,2,1,23.928699493408203,,23.212400436401367,,,,1.988472210036384
104.56287395347562,-55.95041610641384,100547563,2,2,1,25.965499877929688,,24.89069938659668,,,,1.983657368907222
